预测结果,预测概率,模型准确率,种子值
通过,0.5124665072949602,0.8363636363636363,350
通过,0.5124665072949602,0.8363636363636363,350
通过,0.5124665072949602,0.8363636363636363,350
通过,0.5124665072949602,0.8363636363636363,350
不通过,0.4822116140026627,0.8363636363636363,350
通过,0.5124665072949602,0.8363636363636363,350
通过,0.5124665072949602,0.8363636363636363,350
不通过,0.4822116140026627,0.8363636363636363,350
不通过,0.4822116140026627,0.8363636363636363,350
不通过,0.4822116140026627,0.8363636363636363,350
不通过,0.4822116140026627,0.8363636363636363,350
不通过,0.4822116140026627,0.8363636363636363,350
通过,0.5124665072949602,0.8363636363636363,350
